@id,@lat,@lon,name,place,population,addr:district,addr:region
419875358,51.7865971,36.2272060,Щетинка,village,,Курский район,Курская область
419875373,51.7694464,36.2627674,Юбилейный,village,,Курский район,Курская область
419875374,51.8000767,36.2985375,Муравлево,hamlet,,,
419875475,51.6817756,36.3920095,Малая Шумаковка,hamlet,,,
419875476,51.6110955,36.5006578,Полевая,village,,Курский район,Курская область
419875572,51.6283077,36.5287674,Барышниково,hamlet,,Курский район,Курская область
419875573,51.6336572,36.5074722,Еремино,hamlet,,Курский район,Курская область
419875577,51.7077251,36.4786608,Беседино,village,,Курский район,Курская область
419875578,51.7216953,36.4567343,1-е Красниково,hamlet,,,
419875610,51.7122120,36.3618790,Клюква,village,,Курский район,Курская область
419878208,51.9501327,36.3058152,Долгое,hamlet,,,
419878215,51.9849453,36.2422123,Кононыхино,hamlet,,,
420038701,51.5792265,34.9837414,Мухин Пруд,hamlet,,Рыльский район,Курская область
420039068,51.6137770,34.8362850,Мазеповка,hamlet,,Рыльский район,Курская область
420452020,51.6406218,35.3210895,Сугрово,village,,Льговский район,Курская область
420673791,51.7399983,35.6541538,Косой Хутор,hamlet,,Курчатовский район,Курская область
420674470,51.7048773,35.7572638,Сорокина,hamlet,,Октябрьский район,Курская область
422261652,51.6947472,35.6712393,Мосолово,village,,Курчатовский район,Курская область
422261656,51.6903880,35.8021861,Авдеева,hamlet,,Октябрьский район,Курская область
422261662,51.7554044,35.8643596,Старково,village,,Октябрьский район,Курская область
422261663,51.6708368,35.8248901,Липина,hamlet,,,
422261665,51.7506551,35.9804038,Полянское,village,,Курский район,Курская область
422261667,51.6641497,35.7290015,Дичня,village,2370,Курчатовский район,Курская область
423881206,51.6351881,35.0499164,Густомой,village,,Льговский район,Курская область
424288755,51.5682162,35.7593858,Артюховка,village,,Октябрьский район,Курская область
424379313,51.6977762,35.0593137,Банищи,village,,Льговский район,Курская область
435117577,51.7114481,35.9803289,Жеребцово,hamlet,,Курский район,Курская область
445359610,52.4954430,35.7575316,Нижнее Муханово,village,,Троснянский район,Орловская область
445374250,52.2305572,35.2015104,Полозовка,hamlet,,Дмитриевский район,Курская область
445390950,51.3773990,34.5490110,Званное,village,1838,Глушковский район,Курская область
445390954,51.3758162,34.4469662,Карыж,village,,Глушковский район,Курская область
446098438,51.3175196,36.1833628,Дрозды,hamlet,,Обоянский район,Курская область
446105053,52.2662073,35.8193742,Дворики,hamlet,,,
446105059,52.2929794,35.8239108,Сергеевка,hamlet,,,
470272886,51.4868333,34.6189607,Большенизовцево,hamlet,,,
470272889,51.4347645,34.6238280,Сухая,hamlet,,Рыльский район,Курская область
496120265,51.3146180,37.6936482,Николаевка,hamlet,176,Старооскольский городской округ,Белгородская область
509892278,51.9678150,38.4101188,Троицкое,village,,Семилукский район,Воронежская область
520670594,52.3602763,36.1996049,Александровка,hamlet,,Глазуновский район,Орловская область
520670597,52.3980637,36.2228828,Архангельское,village,,Глазуновский район,Орловская область
520670599,52.4157275,36.2717674,Ильинское,hamlet,,Глазуновский район,Орловская область
532131239,51.6345339,35.1248360,Новый Мир,hamlet,,Льговский район,Курская область
569621605,51.3187342,34.7092361,Серповка,hamlet,,Глушковский район,Курская область
671426891,52.2885686,34.6476060,Избичня,hamlet,182,,
671427978,52.2930385,34.7278617,Усожа,village,318,Комаричский район,Брянская область
671428326,52.3127450,34.7078639,Добричек,hamlet,,,
671429379,52.3069268,34.8129326,Литиж,village,258,,
671430968,52.3650122,34.8209166,Дерюгина,village,142,,
671431561,52.3629814,34.8741178,Владимировка,village,290,,
671431653,52.3410355,34.9150422,Кузнецовка,hamlet,,,
671432705,52.3984184,34.7535372,Пигарево,hamlet,246,,
671432780,52.4250195,34.7260600,Заречная,hamlet,187,,
671452466,52.3702934,34.6462516,Апажа,village,196,,
694290615,52.2314014,34.1812163,Алешковичи,village,402,Суземский район,Брянская область
694292083,52.2723796,34.1721790,Шилинка,hamlet,105,Суземский район,Брянская область
694364190,52.2465320,34.1962117,Щепетлева,village,125,Суземский район,Брянская область
694455804,52.4125612,34.0365016,Денисовка,village,,Суземский район,Брянская область
695113790,52.3385660,34.2500460,Подгородняя Слободка,hamlet,,Суземский район,Брянская область
696435821,52.2464442,34.4189249,Чемлыж,village,336,Севский район,Брянская область
696435824,52.2142064,34.4320797,Княгинино,village,410,Севский район,Брянская область
696435828,52.2969051,34.3857311,Семёновск,village,270,Суземский район,Брянская область
696435831,52.2623020,34.3524590,Добрунь,village,82,Севский район,Брянская область
696435834,52.3018953,34.2840706,Невдольск,village,276,Суземский район,Брянская область
696700956,52.4307100,34.1480520,Нерусса,village,170,Суземский район,Брянская область
696700964,52.3848690,34.1184810,Нерусса,hamlet,,Суземский район,Брянская область
696700969,52.4491522,34.1090406,Берёзовка,village,,Суземский район,Брянская область
696700977,52.3930193,34.0963514,Челюскин,hamlet,,Суземский район,Брянская область
703123037,51.2047673,37.4787986,Сергиевка,village,1002,Губкинский городской округ,Белгородская область
703123040,51.2916594,37.4492151,Аверино,village,800,Губкинский городской округ,Белгородская область
713354667,52.3854427,34.4460177,Игрицкое,village,350,Комаричский район,Брянская область
713355060,52.3781080,34.4928812,Ольгино,village,,Комаричский район,Брянская область
713508863,52.4516564,34.0258504,Красная Слобода,village,,Суземский район,Брянская область
713512780,52.4956088,34.1722583,Теребушка,hamlet,,Суземский район,Брянская область
713513418,52.4660921,34.1360905,Стуженка,hamlet,,Суземский район,Брянская область
718395078,51.8229560,36.3495876,Ноздрачево,village,,Курский район,Курская область
734227177,52.2444567,34.2968745,Заулье,village,322,Севский район,Брянская область
736602323,52.1947448,34.4759939,Заречный,hamlet,384,Севский район,Брянская область
736602373,52.2234968,34.5686958,Шведчики,village,346,Севский район,Брянская область
736602407,52.1948934,34.4823335,Пенькозавод,hamlet,,Севский район,Брянская область
736602416,52.1781435,34.4824788,Стрелецкая Слобода,village,343,Севский район,Брянская область
736602426,52.2056377,34.4974341,Новоямское,village,591,Севский район,Брянская область
736661419,51.9732077,35.9411968,Майский,hamlet,,Фатежский район,Курская область
736661514,52.1549701,35.8609639,Ржава,village,,,
736661585,52.0517850,35.8480720,Миролюбово,village,,Фатежский район,Курская область
736661595,51.9218146,36.0379213,2-е Шемякино,hamlet,140,,
736661642,52.1295123,35.8479900,Чермошной,village,,Фатежский район,Курская область
736661680,51.9705134,35.9032103,Томилин Колодезь,hamlet,,,
